时间,电压传感器值,电流传感器值,位移传感器值
  16:17:00 ,65,0,0
  16:17:00 ,65,0,0
  16:17:00 ,65,0,0
  16:16:59 ,65,0,0
  16:16:59 ,65,0,0
  16:16:59 ,65,0,0
  16:16:59 ,65,0,0
  16:16:59 ,65,0,0
  16:16:58 ,65,0,0
  16:16:58 ,65,0,0
  16:16:58 ,65,0,0
  16:16:58 ,65,0,0
  16:16:58 ,65,0,0
  16:16:57 ,65,0,0
  16:16:57 ,65,0,0
  16:16:57 ,65,0,0
  16:16:57 ,65,0,0
  16:16:57 ,65,0,0
  16:16:56 ,65,0,0
  16:16:56 ,65,0,0
  16:16:56 ,65,0,0
  16:16:56 ,65,0,0
  16:16:56 ,65,0,0
  16:16:55 ,65,0,0
  16:16:55 ,65,0,0
  16:16:54 ,65,0,0
  16:16:54 ,65,0,0
  16:16:53 ,65,0,0
  16:16:53 ,65,0,0
  16:16:53 ,65,0,0
  16:16:53 ,65,0,0
  16:16:53 ,65,0,0
  16:16:52 ,65,0,0
  16:16:52 ,65,0,0
  16:16:52 ,65,0,0
  16:16:52 ,65,0,0
  16:16:52 ,65,0,0
  16:16:51 ,65,0,0
  16:16:51 ,65,0,0
  16:16:51 ,65,0,0
  16:16:51 ,65,0,0
  16:16:51 ,65,0,0
  16:16:50 ,65,0,0
  16:16:50 ,65,0,0
  16:16:50 ,65,0,0
  16:16:50 ,65,0,0
  16:16:50 ,65,0,0
  16:16:49 ,65,0,0
  16:16:49 ,65,0,0
  16:16:49 ,65,0,0
  16:16:49 ,65,0,0
  16:16:49 ,65,0,0
  16:16:48 ,65,0,0
  16:16:48 ,65,0,0
  16:16:48 ,65,0,0
  16:16:48 ,65,0,0
  16:16:48 ,65,0,0
  16:16:47 ,65,0,0
  16:16:47 ,65,0,0
  16:16:47 ,65,0,0
  16:16:47 ,65,0,0
  16:16:47 ,65,0,0
  16:16:46 ,65,0,0
  16:16:46 ,65,0,0
  16:16:46 ,65,0,0
  16:16:46 ,65,0,0
  16:16:46 ,65,0,0
  16:16:45 ,65,0,0
  16:16:45 ,65,0,0
  16:16:45 ,65,0,0
  16:16:45 ,65,0,0
  16:16:45 ,65,0,0
  16:16:44 ,65,0,0
  16:16:44 ,65,0,0
  16:16:44 ,65,0,0
  16:16:44 ,65,0,0
  16:16:44 ,65,0,0
  16:16:43 ,65,0,0
  16:16:43 ,65,0,0
  16:16:43 ,65,0,0
  16:16:43 ,65,0,0
  16:16:43 ,65,0,0
  16:16:42 ,65,0,0
  16:16:42 ,65,0,0
  16:16:42 ,65,0,0
  16:16:42 ,65,0,0
  16:16:42 ,65,0,0
  16:16:41 ,65,0,0
  16:16:41 ,65,0,0
  16:16:41 ,65,0,0
  16:16:41 ,64,0,0
  16:16:41 ,30,0,0
  16:16:40 ,30,0,0
  16:16:40 ,30,0,0
  16:16:40 ,31,0,0
  16:16:40 ,31,0,0
  16:16:40 ,33,0,0
  16:16:39 ,30,0,0
  16:16:39 ,0,0,0
  16:16:39 ,0,0,0
  16:16:39 ,0,0,0
  16:16:39 ,0,0,0
  16:16:38 ,0,0,0
  16:16:38 ,0,0,0
  16:16:38 ,0,0,0
  16:16:38 ,0,0,0
  16:16:38 ,0,0,0
  16:16:37 ,0,0,0
  16:16:37 ,0,0,0
  16:16:37 ,0,0,0
  16:16:37 ,0,0,0
  16:16:37 ,0,0,0
  16:16:36 ,0,0,0
  16:16:36 ,0,0,0
  16:16:36 ,0,0,0
  16:16:36 ,0,0,0
  16:16:36 ,0,0,0
  16:16:35 ,0,0,0
  16:16:35 ,0,0,0
  16:16:35 ,0,0,0
  16:16:35 ,0,0,0
  16:16:35 ,0,0,0
  16:16:34 ,0,0,0
  16:16:34 ,0,0,0
  16:16:34 ,0,0,0
  16:16:34 ,0,0,0
  16:16:34 ,0,0,0
  16:16:33 ,0,0,0
  16:16:33 ,0,0,0
  16:16:33 ,0,0,0
  16:16:33 ,0,0,0
  16:16:33 ,0,0,0
  16:16:32 ,0,0,0
  16:16:32 ,0,0,0
  16:16:32 ,0,0,0
  16:16:32 ,0,0,0
  16:16:32 ,0,0,0
  16:16:31 ,0,0,0
  16:16:31 ,0,0,0
  16:16:31 ,0,0,0
  16:16:31 ,0,0,0
  16:16:31 ,0,0,0
  16:16:30 ,0,0,0
  16:16:30 ,0,0,0
  16:16:30 ,0,0,0
  16:16:30 ,0,0,0
  16:16:30 ,0,0,0
  16:16:29 ,0,0,0
  16:16:29 ,0,0,0
  16:16:29 ,0,0,0
  16:16:29 ,0,0,0
  16:16:29 ,0,0,0
  16:16:28 ,0,0,0
  16:16:28 ,0,0,0
  16:16:28 ,0,0,0
  16:16:28 ,0,0,0
  16:16:28 ,0,0,0
  16:16:27 ,0,0,0
  16:16:27 ,0,0,0
  16:16:27 ,0,0,0
  16:16:27 ,0,0,0
  16:16:27 ,0,0,0
  16:16:26 ,0,0,0
  16:16:26 ,0,0,0
  16:16:26 ,0,0,0
  16:16:26 ,0,0,0
  16:16:26 ,0,0,0
  16:16:25 ,0,0,0
  16:16:25 ,0,0,0
  16:16:25 ,0,0,0
  16:16:25 ,0,0,0
  16:16:25 ,0,0,0
  16:16:24 ,0,0,0
  16:16:24 ,0,0,0
  16:16:24 ,0,0,0
  16:16:24 ,0,0,0
  16:16:24 ,0,0,0
  16:16:23 ,0,0,0
  16:16:23 ,0,0,0
  16:16:23 ,0,0,0
  16:16:23 ,0,0,0
  16:16:23 ,0,0,0
  16:16:22 ,0,0,0
  16:16:22 ,0,0,0
  16:16:22 ,0,0,0
  16:16:22 ,0,0,0
  16:16:22 ,0,0,0
  16:16:21 ,0,0,0
  16:16:21 ,0,0,0
  16:16:21 ,0,0,0
  16:16:21 ,0,0,0
  16:16:21 ,0,0,0
  16:16:20 ,0,0,0
  16:16:20 ,0,0,0
  16:16:20 ,0,0,0
  16:16:20 ,0,0,0
  16:16:20 ,0,0,0
  16:16:19 ,0,0,0
  16:16:19 ,0,0,0
  16:16:19 ,0,0,0
  16:16:19 ,0,0,0
  16:16:19 ,0,0,0
  16:16:18 ,0,0,0
  16:16:18 ,0,0,0
  16:16:18 ,0,0,0
  16:16:18 ,0,0,0
  16:16:18 ,0,0,0
  16:16:17 ,0,0,0
  16:16:17 ,0,0,0
  16:16:17 ,0,0,0
  16:16:17 ,0,0,0
  16:16:17 ,0,0,0
  16:16:16 ,0,0,0
  16:16:16 ,0,0,0
  16:16:16 ,0,0,0
  16:16:16 ,0,0,0
  16:16:16 ,0,0,0
  16:16:15 ,0,0,0
  16:16:15 ,0,0,0
  16:16:15 ,0,0,0
  16:16:15 ,0,0,0
  16:16:15 ,0,0,0
  16:16:14 ,0,0,0
  16:16:14 ,0,0,0
  16:16:14 ,0,0,0
  16:16:14 ,0,0,0
  16:16:14 ,0,0,0
  16:16:13 ,0,0,0
  16:16:13 ,0,0,0
  16:16:13 ,0,0,0
  16:16:13 ,0,0,0
  16:16:13 ,0,0,0
  16:16:12 ,0,0,0
  16:16:12 ,0,0,0
  16:16:12 ,0,0,0
  16:16:12 ,0,0,0
  16:16:12 ,0,0,0
  16:16:11 ,0,0,0
  16:16:11 ,0,0,0
  16:16:11 ,0,0,0
  16:16:11 ,0,0,0
  16:16:11 ,0,0,0
  16:16:10 ,0,0,0
  16:16:10 ,0,0,0
  16:16:10 ,0,0,0
  16:16:10 ,0,0,0
  16:16:10 ,0,0,0
  16:16:09 ,0,0,0
  16:16:09 ,0,0,0
  16:16:09 ,0,0,0
  16:16:09 ,0,0,0
  16:16:09 ,0,0,0
  16:16:08 ,0,0,0
  16:16:08 ,0,0,0
  16:16:08 ,0,0,0
  16:16:08 ,0,0,0
  16:16:08 ,0,0,0
  16:16:07 ,0,0,0
  16:16:07 ,0,0,0
  16:16:07 ,0,0,0
  16:16:07 ,0,0,0
  16:16:07 ,0,0,0
  16:16:06 ,0,0,0
  16:16:06 ,0,0,0
  16:16:06 ,0,0,0
  16:16:06 ,0,0,0
  16:16:06 ,0,0,0
  16:16:05 ,0,0,0
  16:16:05 ,0,0,0
  16:16:05 ,0,0,0
  16:16:05 ,0,0,0
  16:16:05 ,0,0,0
  16:16:04 ,0,0,0
  16:16:04 ,0,0,0
  16:16:04 ,0,0,0
  16:16:04 ,0,0,0
  16:16:04 ,0,0,0
  16:16:03 ,0,0,0
  16:16:03 ,0,0,0
  16:16:03 ,0,0,0
  16:16:03 ,0,0,0
  16:16:03 ,0,0,0
  16:16:02 ,0,0,0
  16:16:02 ,0,0,0
  16:16:02 ,0,0,0
  16:16:02 ,0,0,0
  16:16:02 ,0,0,0
  16:16:01 ,0,0,0
  16:16:01 ,0,0,0
  16:16:01 ,0,0,0
  16:16:01 ,0,0,0
  16:16:01 ,0,0,0
  16:16:00 ,0,0,0
  16:16:00 ,0,0,0
  16:16:00 ,0,0,0
  16:16:00 ,0,0,0
  16:16:00 ,0,0,0
  16:15:59 ,0,0,0
  16:15:59 ,0,0,0
  16:15:59 ,0,0,0
  16:15:59 ,0,0,0
  16:15:59 ,0,0,0
  16:15:58 ,0,0,0
  16:15:58 ,0,0,0
  16:15:58 ,0,0,0
  16:15:58 ,0,0,0
  16:15:58 ,0,0,0
  16:15:57 ,0,0,0
  16:15:57 ,0,0,0
  16:15:57 ,0,0,0
  16:15:57 ,0,0,0
  16:15:57 ,0,0,0
  16:15:56 ,0,0,0
  16:15:56 ,0,0,0
  16:15:56 ,0,0,0
  16:15:56 ,0,0,0
  16:15:56 ,0,0,0
  16:15:55 ,0,0,0
  16:15:55 ,0,0,0
  16:15:55 ,0,0,0
  16:15:55 ,0,0,0
  16:15:55 ,0,0,0
  16:15:54 ,0,0,0
  16:15:54 ,0,0,0
  16:15:54 ,0,0,0
  16:15:54 ,0,0,0
  16:15:54 ,0,0,0
  16:15:53 ,0,0,0
  16:15:53 ,0,0,0
  16:15:53 ,0,0,0
  16:15:53 ,0,0,0
  16:15:53 ,0,0,0
  16:15:52 ,0,0,0
  16:15:52 ,0,0,0
  16:15:52 ,0,0,0
  16:15:52 ,0,0,0
  16:15:52 ,0,0,0
  16:15:51 ,0,0,0
  16:15:51 ,0,0,0
  16:15:51 ,0,0,0
  16:15:51 ,0,0,0
  16:15:51 ,0,0,0
  16:15:50 ,0,0,0
  16:15:50 ,0,0,0
  16:15:50 ,0,0,0
  16:15:50 ,0,0,0
  16:15:50 ,0,0,0
  16:15:49 ,0,0,0
  16:15:49 ,0,0,0
  16:15:49 ,0,0,0
  16:15:49 ,0,0,0
  16:15:49 ,0,0,0
  16:15:48 ,0,0,0
  16:15:48 ,0,0,0
  16:15:48 ,0,0,0
  16:15:48 ,0,0,0
  16:15:48 ,0,0,0
  16:15:47 ,0,0,0
  16:15:47 ,0,0,0
  16:15:47 ,0,0,0
  16:15:47 ,0,0,0
  16:15:47 ,0,0,0
  16:15:46 ,0,0,0
  16:15:46 ,0,0,0
  16:15:46 ,0,0,0
  16:15:46 ,0,0,0
  16:15:46 ,0,0,0
  16:15:45 ,0,0,0
  16:15:45 ,0,0,0
  16:15:45 ,0,0,0
  16:15:45 ,0,0,0
  16:15:45 ,0,0,0
  16:15:44 ,0,0,0
  16:15:44 ,0,0,0
  16:15:44 ,0,0,0
  16:15:44 ,0,0,0
  16:15:44 ,0,0,0
  16:15:43 ,0,0,0
  16:15:43 ,0,0,0
  16:15:43 ,0,0,0
  16:15:43 ,0,0,0
  16:15:43 ,0,0,0
  16:15:42 ,0,0,0
  16:15:42 ,0,0,0
  16:15:42 ,0,0,0
  16:15:42 ,0,0,0
  16:15:42 ,0,0,0
  16:15:41 ,0,0,0
  16:15:41 ,0,0,0
  16:15:41 ,0,0,0
  16:15:41 ,0,0,0
  16:15:41 ,0,0,0
  16:15:40 ,0,0,0
  16:15:40 ,0,0,0
  16:15:40 ,0,0,0
  16:15:40 ,0,0,0
  16:15:40 ,0,0,0
  16:15:39 ,0,0,0
  16:15:39 ,0,0,0
  16:15:39 ,0,0,0
  16:15:39 ,0,0,0
  16:15:39 ,0,0,0
  16:15:38 ,0,0,0
  16:15:38 ,0,0,0
  16:15:38 ,0,0,0
  16:15:38 ,0,0,0
  16:15:38 ,0,0,0
  16:15:37 ,0,0,0
  16:15:37 ,0,0,0
  16:15:37 ,0,0,0
  16:15:37 ,0,0,0
  16:15:37 ,0,0,0
  16:15:36 ,0,0,0
  16:15:36 ,0,0,0
  16:15:36 ,0,0,0
  16:15:36 ,0,0,0
  16:15:36 ,0,0,0
  16:15:35 ,0,0,0
  16:15:35 ,0,0,0
  16:15:35 ,0,0,0
  16:15:35 ,0,0,0
  16:15:35 ,0,0,0
  16:15:34 ,0,0,0
  16:15:34 ,0,0,0
  16:15:34 ,0,0,0
  16:15:34 ,0,0,0
  16:15:34 ,0,0,0
  16:15:33 ,0,0,0
  16:15:33 ,0,0,0
  16:15:33 ,0,0,0
  16:15:33 ,0,0,0
  16:15:33 ,0,0,0
  16:15:32 ,0,0,0
  16:15:32 ,0,0,0
  16:15:32 ,0,0,0
  16:15:32 ,0,0,0
  16:15:32 ,0,0,0
  16:15:31 ,0,0,0
  16:15:31 ,0,0,0
  16:15:31 ,0,0,0
  16:15:31 ,0,0,0
  16:15:31 ,0,0,0
  16:15:30 ,0,0,0
  16:15:30 ,0,0,0
  16:15:30 ,0,0,0
  16:15:30 ,0,0,0
  16:15:30 ,0,0,0
  16:15:29 ,0,0,0
  16:15:29 ,0,0,0
  16:15:29 ,0,0,0
  16:15:29 ,0,0,0
  16:15:29 ,0,0,0
  16:15:28 ,0,0,0
  16:15:28 ,0,0,0
  16:15:28 ,0,0,0
  16:15:28 ,0,0,0
  16:15:28 ,0,0,0
  16:15:27 ,0,0,0
  16:15:27 ,0,0,0
  16:15:27 ,0,0,0
  16:15:27 ,0,0,0
  16:15:27 ,0,0,0
  16:15:26 ,0,0,0
  16:15:26 ,0,0,0
  16:15:26 ,0,0,0
  16:15:26 ,0,0,0
  16:15:26 ,0,0,0
  16:15:25 ,0,0,0
  16:15:25 ,0,0,0
  16:15:25 ,0,0,0
  16:15:25 ,0,0,0
  16:15:25 ,0,0,0
  16:15:24 ,0,0,0
  16:15:24 ,0,0,0
  16:15:24 ,0,0,0
  16:15:24 ,0,0,0
  16:15:24 ,0,0,0
  16:15:23 ,0,0,0
  16:15:23 ,0,0,0
  16:15:23 ,0,0,0
  16:15:23 ,0,0,0
  16:15:23 ,0,0,0
  16:15:22 ,0,0,0
  16:15:22 ,0,0,0
  16:15:22 ,0,0,0
  16:15:22 ,0,0,0
  16:15:22 ,0,0,0
  16:15:21 ,0,0,0
  16:15:21 ,0,0,0
  16:15:21 ,0,0,0
  16:15:21 ,0,0,0
  16:15:21 ,0,0,0
  16:15:20 ,0,0,0
  16:15:20 ,0,0,0
  16:15:20 ,0,0,0
  16:15:20 ,0,0,0
  16:15:20 ,0,0,0
  16:15:19 ,0,0,0
  16:15:19 ,0,0,0
  16:15:19 ,0,0,0
  16:15:19 ,0,0,0
  16:15:19 ,0,0,0
  16:15:18 ,0,0,0
  16:15:18 ,0,0,0
  16:15:18 ,0,0,0
  16:15:18 ,0,0,0
  16:15:18 ,0,0,0
  16:15:17 ,0,0,0
  16:15:17 ,0,0,0
  16:15:17 ,0,0,0
  16:15:17 ,0,0,0
  16:15:17 ,0,0,0
  16:15:16 ,0,0,0
  16:15:16 ,0,0,0
  16:15:16 ,0,0,0
  16:15:16 ,0,0,0
  16:15:16 ,0,0,0
  16:15:15 ,0,0,0
  16:15:15 ,0,0,0
  16:15:15 ,0,0,0
  16:15:15 ,0,0,0
  16:15:15 ,0,0,0
  16:15:14 ,0,0,0
  16:15:14 ,0,0,0
  16:15:14 ,0,0,0
  16:15:14 ,0,0,0
  16:15:14 ,0,0,0
  16:15:13 ,0,0,0
  16:15:13 ,0,0,0
  16:15:13 ,0,0,0
  16:15:13 ,0,0,0
  16:15:13 ,0,0,0
  16:15:12 ,0,0,0
  16:15:12 ,0,0,0
  16:15:12 ,0,0,0
  16:15:12 ,0,0,0
  16:15:12 ,0,0,0
  16:15:11 ,0,0,0
  16:15:11 ,0,0,0
  16:15:11 ,0,0,0
  16:15:11 ,0,0,0
  16:15:11 ,0,0,0
  16:15:10 ,0,0,0
  16:15:10 ,0,0,0
  16:15:10 ,0,0,0
  16:15:10 ,0,0,0
  16:15:10 ,0,0,0
  16:15:09 ,0,0,0
  16:15:09 ,0,0,0
  16:15:09 ,0,0,0
  16:15:09 ,0,0,0
  16:15:09 ,0,0,0
  16:15:08 ,0,0,0
  16:15:08 ,0,0,0
  16:15:08 ,0,0,0
  16:15:08 ,0,0,0
  16:15:08 ,0,0,0
  16:15:07 ,0,0,0
  16:15:07 ,0,0,0
  16:15:07 ,0,0,0
  16:15:07 ,0,0,0
  16:15:07 ,0,0,0
  16:15:06 ,0,0,0
  16:15:06 ,0,0,0
  16:15:06 ,0,0,0
  16:15:06 ,0,0,0
  16:15:06 ,0,0,0
  16:15:05 ,0,0,0
  16:15:05 ,0,0,0
  16:15:05 ,0,0,0
  16:15:05 ,0,0,0
  16:15:05 ,0,0,0
  16:15:04 ,0,0,0
  16:15:04 ,0,0,0
  16:15:04 ,0,0,0
  16:15:04 ,0,0,0
  16:15:04 ,0,0,0
  16:15:03 ,0,0,0
  16:15:03 ,0,0,0
  16:15:03 ,0,0,0
  16:15:03 ,0,0,0
  16:15:03 ,0,0,0
  16:15:02 ,0,0,0
  16:15:02 ,0,0,0
  16:15:02 ,0,0,0
  16:15:02 ,0,0,0
  16:15:02 ,0,0,0
  16:15:01 ,0,0,0
  16:15:01 ,0,0,0
  16:15:01 ,0,0,0
  16:15:01 ,0,0,0
  16:15:01 ,0,0,0
  16:15:00 ,0,0,0
  16:15:00 ,0,0,0
  16:15:00 ,0,0,0
  16:15:00 ,0,0,0
  16:15:00 ,0,0,0
  16:14:59 ,0,0,0
  16:14:59 ,0,0,0
  16:14:59 ,0,0,0
  16:14:59 ,0,0,0
  16:14:59 ,0,0,0
  16:14:58 ,0,0,0
  16:14:58 ,0,0,0
  16:14:58 ,0,0,0
  16:14:58 ,0,0,0
  16:14:58 ,0,0,0
  16:14:57 ,0,0,0
  16:14:57 ,0,0,0
  16:14:57 ,0,0,0
  16:14:57 ,0,0,0
  16:14:57 ,0,0,0
  16:14:56 ,0,0,0
  16:14:56 ,0,0,0
  16:14:56 ,0,0,0
  16:14:56 ,0,0,0
  16:14:56 ,0,0,0
  16:14:55 ,0,0,0
  16:14:55 ,0,0,0
  16:14:55 ,0,0,0
  16:14:55 ,0,0,0
  16:14:55 ,0,0,0
  16:14:54 ,0,0,0
  16:14:54 ,0,0,0
  16:14:54 ,0,0,0
  16:14:54 ,0,0,0
  16:14:54 ,0,0,0
  16:14:53 ,0,0,0
  16:14:53 ,0,0,0
  16:14:53 ,0,0,0
  16:14:53 ,0,0,0
  16:14:53 ,0,0,0
  16:14:52 ,0,0,0
  16:14:52 ,0,0,0
  16:14:52 ,0,0,0
  16:14:52 ,0,0,0
  16:14:52 ,0,0,0
  16:14:51 ,0,0,0
  16:14:51 ,0,0,0
  16:14:51 ,0,0,0
  16:14:51 ,0,0,0
  16:14:51 ,0,0,0
  16:14:50 ,0,0,0
  16:14:50 ,0,0,0
  16:14:50 ,0,0,0
  16:14:50 ,0,0,0
  16:14:50 ,0,0,0
  16:14:49 ,0,0,0
  16:14:49 ,0,0,0
  16:14:49 ,0,0,0
  16:14:49 ,0,0,0
  16:14:49 ,0,0,0
  16:14:48 ,0,0,0
  16:14:48 ,0,0,0
  16:14:48 ,0,0,0
  16:14:48 ,0,0,0
  16:14:48 ,0,0,0
  16:14:47 ,0,0,0
  16:14:47 ,0,0,0
  16:14:47 ,0,0,0
  16:14:47 ,0,0,0
  16:14:47 ,0,0,0
  16:14:46 ,0,0,0
  16:14:46 ,0,0,0
  16:14:46 ,0,0,0
  16:14:46 ,0,0,0
  16:14:46 ,0,0,0
  16:14:45 ,0,0,0
  16:14:45 ,0,0,0
  16:14:45 ,0,0,0
  16:14:45 ,0,0,0
  16:14:45 ,0,0,0
  16:14:44 ,0,0,0
  16:14:44 ,0,0,0
  16:14:44 ,0,0,0
  16:14:44 ,0,0,0
  16:14:44 ,0,0,0
  16:14:43 ,0,0,0
  16:14:43 ,0,0,0
  16:14:43 ,0,0,0
  16:14:43 ,0,0,0
  16:14:43 ,0,0,0
  16:14:42 ,0,0,0
  16:14:42 ,0,0,0
  16:14:42 ,0,0,0
  16:14:42 ,0,0,0
  16:14:42 ,0,0,0
  16:14:41 ,0,0,0
  16:14:41 ,0,0,0
  16:14:41 ,0,0,0
  16:14:41 ,0,0,0
  16:14:41 ,0,0,0
  16:14:40 ,0,0,0
  16:14:40 ,0,0,0
  16:14:40 ,0,0,0
  16:14:40 ,0,0,0
  16:14:40 ,0,0,0
  16:14:39 ,0,0,0
  16:14:39 ,0,0,0
  16:14:39 ,0,0,0
  16:14:39 ,0,0,0
  16:14:39 ,0,0,0
  16:14:38 ,0,0,0
  16:14:38 ,0,0,0
  16:14:38 ,0,0,0
  16:14:38 ,0,0,0
